,,,,,,Process name,Case2: STRAP,Landfill (film) - SI units,"market for ethylene glycol | ethylene glycol | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","market group for tap water | tap water | APOS, S",STRAP (SI units)
,,,,,,Product name,multilayer film,multilayer film waste,ethylene glycol,nylon 6,"polyethylene, linear low density, granulate","electricity, medium voltage","heat, district or industrial, natural gas",tap water,multilayer film waste
,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,false
,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,4052f31f-cd94-4b86-b075-210914586a0f,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,ff4734a5-a4a6-4960-bfbd-febae7a64f65,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,false
,,,,,,Process location,,,GLO,RoW,GLO,US,GLO,GLO,
,,,,,,Process category,Z10: REMADE LCA paper,Z2: REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,"360:Water collection, treatment and supply",Z2: REMADE
,,,,,,Process sub category,,,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,"3600:Water collection, treatment and supply",
,,,,,,Product/Service unit,,,,,,,,,
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,
69bb7dd8-43bc-49ff-a67c-0eb8e82558d0,Emission to water,ground water,"2,4-D polypropoxybutyl ester",,kg,,,2.62286E-14,1.09702E-12,1.64924E-12,1.84213E-12,3.01936E-13,3.31297E-15,7.54849E-16,
e6367875-dd2b-4d12-8d03-94cf2e607815,Emission to water,surface water,"2,4-D polypropoxybutyl ester",,kg,,,1.00354E-16,4.19736E-15,6.31021E-15,7.04826E-15,1.15528E-15,1.26759E-17,2.88818E-18,
c7dcf08c-f297-495b-b7db-f4f54799814b,Emission to water,surface water,"2,4-D, dimethylamine salt",,kg,,,4.87185E-16,2.03757E-14,3.06342E-14,3.42165E-14,5.60681E-15,6.15362E-17,1.40198E-17,
0b2a8601-aa6e-42e9-8091-21cba87c0f0c,Emission to air,low population density,"2,4-DB",,kg,,,2.65954E-15,6.92778E-13,2.47503E-14,4.4018E-13,5.12306E-13,1.04749E-15,8.08272E-16,
d051c442-f206-4d70-844d-7d44dbbc3d8e,Emission to soil,agricultural,"2,4-DB",,kg,,,5.81114E-14,1.14507E-11,1.44399E-12,8.01406E-12,8.10754E-12,1.83922E-14,1.30173E-14,
68f64fd1-01f5-43b4-b191-0aebfffcf293,Emission to water,ground water,"2,4-DB",,kg,,,1.6266E-15,3.07957E-13,4.34963E-14,2.18858E-13,2.16424E-13,4.99501E-16,3.48549E-16,
05136060-b6a6-4383-ae42-6ca90aeec59a,Emission to water,surface water,"2,4-DB",,kg,,,6.69359E-18,1.26918E-15,1.78521E-16,9.01451E-16,8.92203E-16,2.05782E-18,1.43672E-18,
e3d35475-3f5c-5099-9506-8cc81a188fb1,Emission to water,unspecified,"2,4-di-tert-butylphenol",,kg,,,1.11777E-13,3.3747E-11,7.50287E-13,1.54247E-11,1.04914E-10,2.60882E-14,4.2881E-14,
a0fec60d-3f74-48bf-a2d2-58c30fc13e53,Emission to air,high population density,2-Aminopropanol,,kg,,,1.66593E-14,3.82749E-12,4.09646E-13,2.27054E-12,2.94113E-12,4.94728E-15,3.29639E-15,
96db42b8-64e4-4a84-9b16-cd8f73c615d6,Emission to water,surface water,2-Aminopropanol,,kg,,,4.01537E-14,9.22748E-12,9.88255E-13,5.47932E-12,7.07506E-12,1.19421E-14,7.93507E-15,
2b8204fa-c9bf-5465-9aa2-d79024a19b1a,Emission to water,unspecified,2-chlorobenzaldehyde,,kg,,,3.33799E-14,1.00779E-11,2.24059E-13,4.60628E-12,3.13306E-11,7.79073E-15,1.28056E-14,
